,meanHR,minHR,maxHR,sdHR,modeHR,nNN,meanNN,SDSD,CVNN,SDNN,pNN50,pNN20,RMSSD,medianNN,q20NN,q80NN,minNN,maxNN,triHRV,max_ecg,min_ecg,mean_ecg,sd_ecg,ku_ecg,sk_ecg,median_ecg,q1_ecg,q3_ecg,q05_ecg,q95_ecg,totalpower,LF,HF,ULF,VLF,VHF,LF/HF,rLF,rHF,peakLF,peakHF,SD1,SD2,SD1SD2,apEn,sampEn
2ea4_Baseline,63.43094010243964,57.034220532319395,79.57559681697613,4.686313858549307,22.541376284656735,62.0,950.6774193548387,42.03340067580802,64.84317911092297,0.06820734119774056,16.129032258064516,56.451612903225815,42.036674074111936,956.0,904.8,999.6000000000001,754.0,1052.0,2.6956521739130435,5.967484357884467,-1.729123448296835,-3.178453948232351e-05,0.685371860351204,28.42695718870665,4.448356444813569,-0.012330790395577787,-0.13076650145274366,0.07672180059146143,-0.8932437389258862,0.2745891604654357,369.94146909331295,115.9313702475074,245.57880740143844,0.0,0.0,8.431291444367124,0.4720740013123313,32.0686324798539,67.9313675201461,0.10619469026548672,0.17699115044247787,14.86105132709753,43.3713179118951,0.34264698521005077,0.011538896932473008,0.013869847864150502
2ea4_Breathing,61.712465313769954,45.87155963302752,84.26966292134831,11.008515087679642,38.39810328832079,59.666666666666664,1002.8938547486033,106.65948647350156,173.3165312891468,0.17281642565512806,177.6536312849162,249.72067039106145,106.65949179989204,1006.0,815.2,1190.8,712.0,1308.0,1.808080808080808,7.518169272690155,-1.9154641357695643,4.33193472036848e-06,0.7121880386082964,34.697022479738855,4.7608427158664,-0.003696039600721656,-0.12726722488496012,0.06659528459074719,-0.8385796387375684,0.3742056398011915,8181.896350770018,284.92046660931294,7787.661895988465,0.0,84.05505011661774,25.258938055622192,0.036586137201986065,3.529483550758407,96.4705164492416,0.140625,0.171875,37.7098230816439,116.71748441605945,0.3230863248150618,0.0018293692568209785,0.006495446516029555
2ea4_Counting1,70.64941895509719,58.25242718446602,82.87292817679558,5.75070274580905,24.62050099232956,69.0,855.1014492753624,43.67059774340667,72.0953766286919,0.08431207395308193,21.73913043478261,53.62318840579711,43.706238617818016,846.0,800.0,914.0,724.0,1030.0,4.3125,6.126628318688256,-1.6856709702868131,0.0006309508357629246,0.7082550392675374,25.42662920964303,4.218876980939776,-0.009156543274101273,-0.13015571779544255,0.06830180264648558,-0.928362815375523,0.2855288262616232,438.61436838039975,103.95662117209976,332.3321172855898,0.0,0.0,2.325629922710199,0.31280943298888136,23.82748212562018,76.17251787437982,0.14285714285714285,0.21428571428571427,15.439887901416396,47.67957314722658,0.323826051331051,0.0008973165689458718,0.024044874254002917
2ea4_Counting2,63.91382841403336,52.91005291005291,79.7872340425532,5.890797863233994,26.877181132500283,63.0,946.4761904761905,58.622906455500164,84.20738894979166,0.08896936848186883,31.746031746031743,61.904761904761905,58.759213416198165,956.0,878.0,1016.4,752.0,1134.0,3.3157894736842106,6.5390506488362545,-1.839485792189429,0.00011341029919131192,0.7404165561207984,28.90873511622339,4.493784797270963,-0.006827796960511523,-0.11498539227577845,0.06427709287113931,-0.9623251719396221,0.2566609828860226,1049.9041089817379,318.5735229190182,709.5452078627408,0.0,0.0,21.78537819997884,0.44898269960642906,30.986063513966123,69.01393648603388,0.10619469026548672,0.3185840707964602,20.726327343774397,54.89971464455994,0.37753069351933666,0.007572205381682462,0.01874218180974064
2ea4_Counting3,64.32135665007657,49.75124378109453,78.53403141361257,5.908396947059726,28.782787632518037,62.0,941.0322580645161,39.98588840033026,90.19244080726563,0.09584415415553389,24.193548387096776,62.903225806451616,40.2337432804935,919.0,876.4,1016.8,764.0,1206.0,2.9523809523809526,7.066157128578768,-1.8372043019331026,-0.0001802293397719651,0.7374990431955827,28.73379922441939,4.484443484042083,-0.009706458846524027,-0.12313466023236821,0.07056496997033845,-0.9625711116011666,0.24963924845182844,733.1262906203499,515.92858527777,210.15958204414807,0.0,0.0,7.038123298431839,2.454937244638169,71.05591421227888,28.944085787721125,0.14414414414414414,0.18018018018018017,14.137146419821018,60.67241463251174,0.23300780932238568,0.006860101186936696,0.016620881236040407
2ea4_Math,62.92813914812285,52.35602094240838,82.1917808219178,6.712865827036995,29.835759879509425,61.0,963.5081967213115,53.41338783488649,95.0503961152515,0.09865032434461397,42.62295081967213,70.49180327868852,53.44717017766235,974.0,906.0,1042.0,730.0,1146.0,2.44,6.753035706449079,-1.7414808187713477,-7.928388282484097e-05,0.7441940471149945,29.470592504595906,4.563277616654272,-0.007340404714697195,-0.1111646653322425,0.06201622467163421,-0.977061926617479,0.24368211134057985,1092.8958742449697,659.2397494581687,429.3132764782645,0.0,0.0,4.342848308536609,1.535568046872515,60.561105775352964,39.438894224647036,0.14285714285714285,0.17857142857142855,18.88448437209764,64.55628358262268,0.2925274399962668,0.012196029400296737,0.013869847864150502
2ea4_Reading,74.00635498537683,55.248618784530386,88.75739644970415,7.950035153515267,33.50877766517376,72.0,821.0,46.51131603536284,96.48891703771532,0.11752608652584083,29.166666666666668,59.72222222222222,46.57146560342185,805.0,744.8000000000001,862.0,676.0,1086.0,2.6666666666666665,6.265781278973279,-1.678960991420257,1.425590308268377e-05,0.7250016231354416,24.63545186884892,4.183307406171461,-0.008445291307544924,-0.1322324183783836,0.06586905385660902,-0.9410226102660023,0.29103041860845336,476.198537551163,242.3936489933326,223.91021998749045,0.0,0.0,9.89466857033992,1.082548393757439,51.981908175696724,48.018091824303276,0.1415929203539823,0.17699115044247787,16.444233485257833,65.1894786096996,0.25225287632245424,0.00898569849671027,0.011516442061559067
2ea4_Relax,59.14381017414488,46.43962848297214,79.36507936507937,6.374327714509407,32.92545088210723,58.0,1025.848275862069,78.33855257435157,106.59885041978855,0.10391288159080687,134.48275862068965,196.55172413793102,78.33989334233797,1024.0,933.5999999999999,1112.4,756.0,1292.0,1.45,7.585190058279322,-1.9935796125190957,-2.049838661157608e-06,0.742838656969698,34.97445090957441,4.86924798210141,-0.0009014422111216953,-0.09030835543335813,0.05431157097155055,-0.8991689766884167,0.23000007638995368,2386.0611417524133,245.5154415338501,1987.44826524871,0.0,117.7760388416047,35.32139612824868,0.12353299747559779,10.995048454576503,89.0049515454235,0.140625,0.296875,27.69686087683143,69.9692225590436,0.39584348466155106,0.0014934238045678505,0.009066245237753194
2ea4_Speaking,65.24843516478177,55.248618784530386,75.75757575757575,4.647740143287078,20.508956973045365,64.0,924.3125,58.66101463875282,66.93954245249962,0.07242089926567002,28.125,59.375,58.73210635981241,911.0,865.5999999999999,980.8000000000001,792.0,1086.0,4.923076923076923,6.659134110324935,-1.7010918285439078,1.3758716720771898e-05,0.7429987637296444,27.800590008115,4.418726446947286,-0.009004300681954434,-0.12345706277723474,0.0678769247601642,-0.9684170750640724,0.2599381596619314,760.0331189150297,47.87801404672132,696.7455597336483,0.0,0.0,15.40954513466011,0.06871664035436999,6.429827866401014,93.57017213359899,0.10619469026548672,0.3185840707964602,20.739800621172723,41.95232089552422,0.49436598925770986,0.010810709392792273,0.013495481474884621
2ea4_Stroop,60.53401390350887,53.380782918149464,70.4225352112676,4.150953643643257,17.041752293118137,59.0,995.6949152542373,51.20242636937992,66.09475843657671,0.06638053225339642,28.8135593220339,62.71186440677966,51.21287553623264,1004.0,945.2,1047.6,852.0,1124.0,2.95,6.806756708711494,-1.8674409905534721,-2.252351677951078e-05,0.7468961385675025,30.24540353043634,4.634377607809546,-0.0052887562295815815,-0.10815563183804089,0.06152374072719348,-0.9747964630494762,0.24810046621953433,538.9340359363378,105.98863858201605,427.5269321850677,0.0,0.0,5.418465169254031,0.24791102174619428,19.866081589638814,80.13391841036119,0.10714285714285714,0.2857142857142857,18.102791449496717,43.429853784720336,0.4168282845075042,0.0164806176349388,0.00888894741724604
